ID,familia,subfamilia,Unnamed: 3,Product: ID,Product: Handle,Importado,Parte importada,Variable dependiente1,Variable dependiente 2,Variable dependiente 3,subfamilia.1
331600822439,gastronomica,mobiliario,,8497281040551,carro-bandejero-capacidad-22-bandejas-aucb-0670,,,,,,
331600822439,gastronomica,calentamiento,,8497280778407,salsera-6-depositos-sc6,,,,,,
331600822439,gastronomica,coccion,,8497280712871,plancha-electrica-encimera-pce-550,,,,,,
331600822439,gastronomica,coccion,,8497280680103,plancha-churrasquera-electrica-pce-730,,,,,,
331600822439,gastronomica,coccion,,8497280647335,plancha-churrasquera-1000-plch-1000,,,,,,
331600822439,gastronomica,coccion,,8497280614567,horno-convector-electrico-4b-heb-4f,,,,,,
331600822439,gastronomica,coccion,,8497280549031,horno-convector-electrico-de-835mm-heb-8f,,,,,,
331600822439,gastronomica,coccion,,8497280450727,freidora-2-canastillos-y-2-quemadores-25lts-fdp020,,,,,,
331600822439,gastronomica,coccion,,8497280319655,freidora-2-canastillos-y-3-quemadores-25-lts-fdp030,,,,,,
331600822439,gastronomica,coccion,,8497279860903,cocina-4-quemadores-gas-hgr-905,,,,,,
331600822439,gastronomica,coccion,,8497279795367,anafe-2-quemadores-2pq,,,,,,
331600822439,gastronomica,coccion,,8497279697063,anafe-2-quemadores-alta-2pql,,,,,,
331600822439,gastronomica,calentamiento,,8497279598759,bano-maria-2-depositos-media-bmdm-540,,,,,,
331600822439,gastronomica,calentamiento,,8497279533223,bano-maria-electrico-hb-2t,,,,,,
331600822439,gastronomica,calentamiento,,8497279500455,perol-del-sopa-10-lts-pips-0395ai,,,,,,
331600822439,gastronomica,calentamiento,,8497279467687,perol-del-sopa-13-lts-pips-0395,,,,,,
331600822439,gastronomica,refrigeracion,,8497279434919,refrigerador-2-puertas-740-x-820-x-2000-mm-rm-0738,,,,,,
331600822439,gastronomica,refrigeracion,,8497279369383,visicooler-vertical-120lts-500-x-500-x-800-mm-pivs-0120,,,,,,
331600822439,gastronomica,refrigeracion,,8497279303847,visicooler-vertical-380lts-600-x-620-x-1930-mm-pivs-0380,,,,,,
331600822439,gastronomica,refrigeracion,,8497279140007,freezer-1-puerta-de-cristal-620-x-760-x-2000-mm-rfree-0620,,,,,,
331600822439,gastronomica,refrigeracion,,8497279107239,refrigerador-1-puerta-de-cristal-620-x-790-x-2000-mm-rmv-0620,,,,,,
331600822439,gastronomica,refrigeracion,,8497279041703,refrigerador-vertical-grafito-680-x-800-x-2000-mm-rmvg-0380,,,,,,
331600822439,gastronomica,refrigeracion,,8497279008935,vitrina-pastelera-1200-sl840v,,,,,,
331600822439,gastronomica,refrigeracion,,8497278976167,meson-freezer-2-puertas-de-acero-1200-x-750-x-850-mm-mrfree-1200,,,,,,
331600822439,gastronomica,lavado,,8497263739047,pre-wash-a-base-superficie-grillpw-1100,,,,,,
331600822439,gastronomica,lavado,,8497263706279,llave-rodilla-simple-grilrs-00210,,,,,,
331600822439,gastronomica,lavado,,8497263673511,llave-de-rodilla-doble-grillr-00230,,,,,,
331600822439,gastronomica,lavado,,8497263640743,llave-pedal-doble-grillp-00120,,,,,,
331600822439,gastronomica,lavado,,8497263607975,griferia-monomando-grillm-00280,,,,,,
331600822439,gastronomica,lavado,,8497263575207,llave-precision-de-65mm-gllp,,,,,,
331600822439,gastronomica,lavado,,8497263542439,cuello-cisne-grillcc-00210,,,,,,
331600822439,gastronomica,lavado,,8497263509671,desagues-de-4-12-grides-004,,,,,,
331600822439,gastronomica,lavado,,8497263476903,desagues-de-1-14-grides-001,,,,,,
331600822439,gastronomica,lavado,,8497263444135,cuello-cisne-largo-grillcc-00300,,,,,,
331600822439,gastronomica,lavado,,8497263411367,griferia-de-combinacion-grillc-00220,,,,,,
331600822439,gastronomica,lavado,,8497263378599,llave-pedal-simple-grilps-00120,,,,,,
331600822439,gastronomica,lavado,,8497263345831,estacion-de-agua-gea-1,,,,,,
331600822439,gastronomica,lavado,,8497263313063,estacion-de-agua-gea2,,,,,,
331600822439,gastronomica,lavado,,8497263247527,columna-llave-prewash-monomando-12-genebre-1705-04,,,,,,
331600822439,gastronomica,lavado,,8497263214759,columna-llave-prewash-alta-cgrupo-mezclador-mural-genebre-gen1743-04,,,,,,
331600822439,gastronomica,lavado,,8497263181991,columna-llave-prewash-cmonomando-mezclador-genebre-gen1802-04,,,,,,
331600822439,gastronomica,lavado,,8497263149223,monomando-de-fregadera-cano-conformado-k8-genebre-gen61203,,,,,,
331600822439,gastronomica,lavado,,8497263116455,llave-de-paso-valvula-esfera-2-piezas-inox-12-genebre-gen2014-04,,,,,,
331600822439,gastronomica,accesorio,,8497262723239,set-tenedor-cuchillo-parrillero-funda-cuero-negro-kg1901fcn,,,,,,
331600822439,gastronomica,importado,,8497262592167,set-cuchillos-5,,,,,,Importado_a_venta
331600822439,gastronomica,importado,,8497262461095,machete-8,,,,,,Importado_a_venta
331600822439,gastronomica,importado,,8497262428327,machete-7,,,,,,Importado_a_venta
331600822439,gastronomica,importado,,8497262395559,cepillo-parrillero-limpia-parilla-kg1913,,,,,,Importado_a_venta
331600822439,gastronomica,importado,,8497262330023,astil-afilador-carnicero-kg1914,,,,,,Importado_a_venta
