familia,sub-familia,CÓDIGO,PRODUCTO,IMPORTADO
Estantes,estanteria-lisa,BAET-1200,Estantería Lisa 1200 X 450 MM,
Estantes,estanteria-lisa,BAET-0600,Estantería Lisa 1200 X 600 MM,
Estantes,estanteria-lisa,BAET-1500,Estantería Lisa 1500 X 450 MM,
Estantes,estanteria-lisa,BAET-1600,Estantería Lisa 1600 X 600 MM,
Estantes,estanteria-parrilla,BAET-0204,Estantería Parrilla 900 X 450 MM,
Estantes,estanteria-parrilla,BAET-0960,Estantería Parrilla 900 X 600 MM,
Estantes,estanteria-parrilla,BAET-1245,Estantería Parrilla 1200 X 450 MM,
Estantes,repisa-especial,BAET-1130,Estante con Repisa para Secado de Platos,
Estantes,estanteria-parrilla,BAET-0612,Estantería Parrilla 1200 X 600 MM,
Estantes,estanteria-parrilla,BAET-1545,Estantería Parrilla 1500 X 450 MM,
Estantes,estanteria-parrilla,BAET-1660,Estantería Parrilla 1600 X 600 MM,
Freidoras,freidora-gas,FDP020,Freidora de Papas con 2 Canastillos a Gas,IMPORTADO
Freidoras,freidora-gas,FDP030,Freidora de Papas con 2C/3Q A GAS,IMPORTADO
Freidoras,freidora-gas,FDP038,Freidora de Papas con 3 Canastillos a Gas,IMPORTADO
Freidoras,freidora-gas,HGF-968,Freidora 1 Canastillo con Gabinete/ Gas,IMPORTADO
Freidoras,freidora-gas,HGF-908,Freidora 2 Canastillos con Gabinete/ Gas,IMPORTADO
Freidoras,freidora-electrica,HEF-26,Freidora Eléctrica Simple,IMPORTADO
Freidoras,freidora-electrica,HEF-26-2,Freidora Eléctrica Doble,IMPORTADO
Freidoras,freidora-electrica,HEF-608,Freidora Electrica Encimera 2 Canastillos,IMPORTADO
Freidoras,freidora-electrica,HEF-12L,Freidora Encimera Electrica 1 Canastillo,IMPORTADO
Freidoras,freidora-electrica,HEF-12L-2,Freidora Encimera Electrica 2 Canastillos,IMPORTADO
Freidoras,accesorio-freidora,,Enchufe 16 Amperes,IMPORTADO
Freidoras,freidora-especial,CCFR-056,Freidora de Vienesas Electrica,
Freidoras,accesorio-freidora,CCFR-0057,Mantenedor de Papas Fritas,
Freidoras,accesorio-freidora,CPFS-1320,Chute de Papas Fritas Y Sandwitch,
Freidoras,accesorio,CCFR-0058,Cocedora de Pastas,IMPORTADO
Griferías,estacion-agua,GEA1,Estacion de Agua 240,IMPORTADO
Griferías,estacion-agua,GEA2,Estacion de Agua 250,IMPORTADO
Griferías,griferia-especial,GLLC,Griferia Lava Cucharas,IMPORTADO
Griferías,griferia-especial,GLLP,Llave Precision de 65mm,IMPORTADO
