familia,subfamilia,codigo,producto,handle,url,descripcion_web,scrape_status,importado_flag,tipo_fabricacion,complejidad,fuente
Sumideros,liviano,,,proteccion-escalera-mecanica-diseno-liso-y-curvo-al-frente-pedl-0800,https://dulox.cl/products/proteccion-escalera-mecanica-diseno-liso-y-curvo-al-frente-pedl-0800,PROTECCIÓN ESCALA MECÁNICA 500 X 200 X 800MM ALTURA. DOS LADOS RECTOS Y FRENTE CURVO. FABRICADA ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 3041-L 1MM ESPESOR. BORDE PERIMETRAL DE 10MM.,ok,,fabricado,C2,sheet1
Sumideros,liviano,,,proteccion-escalera-mecanica-diseno-con-forma-pedf-1000,https://dulox.cl/products/proteccion-escalera-mecanica-diseno-con-forma-pedf-1000,"PROTECCIÓN ESCALA MECÁNICA 500 X 200 X 1000MM ALTURA. DISEÑO CON FORMA. FABRICADA EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1,5MM ESPESOR.",ok,,fabricado,C1,sheet1
Sumideros,pesado,,,chambranas-para-ascensores,https://dulox.cl/products/chambranas-para-ascensores,"CHAMBRANAS PARA ASCENSORES FABRICADOS ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1,5 MM DE ESPESOR.",ok,,fabricado,C2,sheet1
Basureros,basurero-reciclaje,,,basurero-reciclaje-especial-transparente-bret-0960,https://dulox.cl/products/basurero-reciclaje-especial-transparente-bret-0960,"BASURERO ESPECIAL PARA RECICLAJE DE 960 MM DE LARGO X 480 MM DE ANCHO X 875 MM DE ALTURA, FABRICADO INTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1 MM DE ESPESOR, CON TRES DIVISIONES INTERIORES, SISTEMA CÓNICO SUPERIOR PARA BASURA.",ok,,fabricado,C3,sheet1
Basureros,basurero-reciclaje,,,basurero-reciclaje-4-compartimientos-bare4-01300,https://dulox.cl/products/basurero-reciclaje-4-compartimientos-bare4-01300,"BASURERO ESPECIAL PARA RECICLAJE DE 1350 MM DE LARGO X 600 MM DE ANCHO X 875MM DE ALTURA, FABRICADO INTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1,5MM DE ESPESOR, CON GABINETES INTERIORES INDEPENDIENTES, CON 4 COMPARTIMIENTOS INTERIORES DE 40 LITROS CAPACIDAD C/U, SISTEMA CÓNICO SUPERIOR PARA BASURA Y GABINETES INTERIORES EN ACERO 430 PARA BOLSA DE BASURA. NO INCLUYE GRÁFICA. PESO 90KG.",ok,,fabricado,C3,sheet1
Basureros,basurero-especial,,,basurero-modelo-providencia-bapro-0500,https://dulox.cl/products/basurero-modelo-providencia-bapro-0500,"BASURERO MODELO PROVIDENCIA COMPUESTO POR RECIPIENTE DE 500X200X600 MM DE ALTO FABRICADO EN ACERO INOXIDABLE CALIDAD AISI-304 EN 1.0 MM DE ESPESOR CON SISTEMA VAIVEN Y FIJACION AL PISO MEDIANTE 2 PILARES EN PERFIL 50X50X1.0 MM DE ESPESOR, FLANCHES Y PERNOS. ALTURA TOTAL A PISO 900MM.",ok,,fabricado,C3,sheet1
Basureros,basurero-especial,,,basurero-plaza-con-cenicero-bapla-0470,https://dulox.cl/products/basurero-plaza-con-cenicero-bapla-0470,BASURERO MODELO PLAZA DE 470 X 240 X 1020 MM DE ALTO FABRICADO EN ACERO INOXIDABLE CALIDAD AISI-304 EN 1.0 MM DE ESPESOR CON CENICERO Y PILAR 80X80X2.0 MM PARA FIJACION AL PISO MEDIANTE FLANCHES Y PERNOS.,ok,,fabricado,C3,sheet1
Basureros,basurero-especial,,,basurero-aeropuerto-plus-bac-recplus,https://dulox.cl/products/basurero-aeropuerto-plus-bac-recplus,"BASURERO RECICLAJE AEROPUERTO PLUS DE 950 MM DE LARGO X 350 MM DE ANCHO X 900MM DE ALTURA, CON TRES DIVISIONES SUPERIORES CON GANCHOS PARA SOPORTAR BOLSAS, SISTEMA SUPERIOR CON PERFORACIONES A PEDIDO PARA CLASIFICACIÓN DE BASURA.",ok,,fabricado,C3,sheet1
Basureros,basurero-simple,,,basurero-mural-bamu-0600,https://dulox.cl/products/basurero-mural-bamu-0600,"BASURERO RECICLAJE PUERTA ABATIBLE DE 500 MM DE LARGO X 350 MM DE ANCHO X 750 MM DE ALTURA, CON TAPA ABATIBLE SUPERIOR Y RECIPIENTE INTERIOR PARA BASURA. BUZÓN FRONTAL PARA DESHECHOS. FABRICADO INTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1 MM DE ESPESOR. NO INCLUYE GRÁFICA.",ok,,fabricado,C1,sheet1
Basureros,basurero-con-mecanismo,,,basurero-tapa-pedal-rectangular-batp-0300,https://dulox.cl/products/basurero-tapa-pedal-rectangular-batp-0300,ASURERO RECTANGULAR 300 X 300 X 600MM DE ALTURA. CAPACIDAD 50 LITROS. FABRICADO EN ACERO INOXIDABLE CON SISTEMA TAPA PEDAL.,ok,,fabricado,C2,sheet1
Basureros,basurero-reciclaje,,,basurero-reciclaje-domestic-bin-brdb-620,https://dulox.cl/products/basurero-reciclaje-domestic-bin-brdb-620,"BASURERO RECICLAJE DOMESTIC TRAS DE 620X200X500MM, FABRICADO EN ACERO INOXIDABLE, EN 1 MM DE ESPESOR, CAPACIDAD 3 COMPARTIMIENTOS INDEPENDIENTES. GABINETES INTERIORES EN ACERO INOXIDABLE CALIDAD 304-L",ok,,fabricado,C2,sheet1
Basureros,basurero-especial,,,basurero-mural-para-empotrar-bmpe-0250,https://dulox.cl/products/basurero-mural-para-empotrar-bmpe-0250,BASURERO MURAL PARA EMPOTRAR DE 250MM DE LARGO X 380 MM DE ANCHO X 830 MM DE ALTURA FABRICADO ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1 MM DE ESPESOR GABINETE DE 380 X 210 X 580 MM.,ok,,fabricado,C3,sheet1
Basureros,basurero-especial,,,basurero-mall-doble-bmd-1300,https://dulox.cl/products/basurero-mall-doble-bmd-1300,BASURERO MALL DOBLE 1300MM DE LARGO X 860MM DE ANCHO X 1400MM DE ALTURA. FABRICADO ÍNTEGRAMENTE EN MELAMINA DE 18MM ESPESOR. CON PARTES Y PIEZAS DE ACERO INOXIDABLE TODO SEGÚN FOTO. NO INCLUYE BASURERO INTERIOR DE PLÁSTICO.,ok,,fabricado,C3,sheet1
Basureros,basurero-reciclaje,,,basurero-reciclaje-bicolor-3-compartimentos-bare-0955,https://dulox.cl/products/basurero-reciclaje-bicolor-3-compartimentos-bare-0955,BASURERO RECICLAJE DE 955X455X885MM PARA 3 COMPARTIMIENTOS DE 260X380X800MM Y CAPACIDAD DE 79LTS C/U. FABRICADO ÍNTEGRAMENTE EN ACERO INOXIDABLE DE 2 COLORES.,ok,,fabricado,C2,sheet1
Basureros,basurero-reciclaje,,,basurero-reciclaje-puerta-abatible-brpa-0500,https://dulox.cl/products/basurero-reciclaje-puerta-abatible-brpa-0500,"BASURERO RECICLAJE PUERTA ABATIBLE DE 500 MM DE LARGO X 350 MM DE ANCHO X 750 MM DE ALTURA, CON TAPA ABATIBLE SUPERIOR Y RECIPIENTE INTERIOR PARA BASURA. BUZÓN FRONTAL PARA DESHECHOS. FABRICADO INTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1 MM DE ESPESOR. NO INCLUYE GRÁFICA.",ok,,fabricado,C2,sheet1
Basureros,basurero-reciclaje,,,basurero-de-reciclaje-domestic-tras-brdt-620,https://dulox.cl/products/basurero-de-reciclaje-domestic-tras-brdt-620,"BASURERO RECICLAJE DOMESTIC BIN DE 625X210X500MM, FABRICADO EN ACERO INOXIDABLE, EN 1 MM DE ESPESOR, CAPACIDAD 3 COMPARTIMIENTOS INDEPENDIENTES. GABINETES EN ÁNGULO 20X20 PARA BOLSAS DE BASURA. PESO APROXIMADO 24 KGS.",ok,,fabricado,C2,sheet1
Basureros,basurero-reciclaje,,,basurero-de-reciclaje-sistema-vaiven-barsv-01230,https://dulox.cl/products/basurero-de-reciclaje-sistema-vaiven-barsv-01230,"BASURERO PARA RECICLAJE 1230 X 200 X 900MM ALTURA. CON TRES RECIPIENTES DE 360X200X360MM CAPACIDAD 25 LITROS C/U, FABRICADOS EN ACERO INOXIDABLE 1MM ESPESOR, CON SISTEMA VAIVÉN. SOPORTE EN PLETINA FE 70X10MM ESPESOR, CON FLANCHE PARA FIJAR A PISO. DISEÑO SEGÚN PLANO. NO INCLUYE GRÁFICA.",ok,,fabricado,C2,sheet1
